LOGID,USERID,CREATEDATE,OPERATION,MENUID,STATUS,IP,CREATEORGID,UPDATETIME,CREATEUSERID
5d5d812b22164db689d30a5afb3543ed,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:05,editWindow,b0ff7bf9f7d50d1bf2b71dda6128c6c6,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:05,41e3a1b575c20e95e0536a05a8c08226
41e1b428557046c38a67288fa1476775,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:45,openMenu,3f3487c6e885cb9a01363ce186396d5f,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:45,41e3a1b575c20e95e0536a05a8c08226
49716d397a3a47c19e2a94aa2bb73af3,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:32,openMenu,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:32,41e3a1b575c20e95e0536a05a8c08226
76204b327cee465bb6111370b77dba98,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
fb6ef78af40249629ff1f2e7c7fe6e69,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
1ce0c2f144e34e438ad82dcc5b406c50,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
bef4f64ec5c345ec875e52cf6251e267,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
9cff20522437444fad21e9724072fe54,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
de9257fd688344d59823d22355e5b489,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
9dd931109f0949a98d112273cf327642,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
ee0bb29d8b0749e1ab1d37eb0d80a8be,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
2e26d02a388a42a389463f3832fd5dfa,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:33,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:33,41e3a1b575c20e95e0536a05a8c08226
ce5f71c9720b4cb698bad42e78f1f0e8,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:34,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:34,41e3a1b575c20e95e0536a05a8c08226
cfcd796d32424facbfee71224b96c33d,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:37,openMenu,dd3225cf454a7ac5cb3becc59196a3ef,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:37,41e3a1b575c20e95e0536a05a8c08226
12205b2376cf46b6afe525fbc52bc4e6,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:38,addWindow,dd3225cf454a7ac5cb3becc59196a3ef,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:38,41e3a1b575c20e95e0536a05a8c08226
c16bbbef292f421187afdae4edf8d39f,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:41,openMenu,3f3487c6e885cb9a01363ce186396d5f,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:41,41e3a1b575c20e95e0536a05a8c08226
2299b8df4dee4aba995ce303446ce429,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:41,editWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:41,41e3a1b575c20e95e0536a05a8c08226
47f87d3d58584dd191c00f3534576058,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:26,login,,1,10.10.20.21,,2019/9/17 11:26,
60d3ab8d22c349438e08e5a19acbc162,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:40,openMenu,de5e700c2820eb76972396bf5a222d2e,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:40,41e3a1b575c20e95e0536a05a8c08226
1e601105fd75479fa14afbe827b6bba1,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:41,addWindow,de5e700c2820eb76972396bf5a222d2e,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:41,41e3a1b575c20e95e0536a05a8c08226
203e6b44aa2f45bc94fbb0efd0427111,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:12,login,,1,10.10.20.21,,2019/9/17 13:12,
d1aec4fae5854d71b549b8d9185961ad,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:41,editWindow,3f3487c6e885cb9a01363ce186396d5f,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:41,41e3a1b575c20e95e0536a05a8c08226
e6e0266b169d48f787f94a748d7cd6dc,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:52,openMenu,e26cc8864b7f947121e1d8f4b06979a6,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:52,41e3a1b575c20e95e0536a05a8c08226
35ae174d7f974d69962e2908700e311c,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:52,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:52,41e3a1b575c20e95e0536a05a8c08226
3d9717292d914757bd7c59bcb62d0ea7,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:53,openMenu,3af75ec64d48d94efa16acfc25b3c337,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:53,41e3a1b575c20e95e0536a05a8c08226
2acb840f1e8d4085a7078519a4a9bacc,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:53,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:53,41e3a1b575c20e95e0536a05a8c08226
ef154bfe10a944c1a869d712825b6632,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:54,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:54,41e3a1b575c20e95e0536a05a8c08226
d04ac381d0cc420388de71d70eeb9347,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:56,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:56,41e3a1b575c20e95e0536a05a8c08226
68da24bec63e4b53879aa4ebe134698f,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:56,openMenu,c2221dd6edd1c52ddd0f21f896b30bf0,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:56,41e3a1b575c20e95e0536a05a8c08226
47e04283dcac419ba4573763aaef03b5,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:56,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:56,41e3a1b575c20e95e0536a05a8c08226
9a59c64a3b8342358334f5a00ec75aca,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:57,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:57,41e3a1b575c20e95e0536a05a8c08226
d073d761a95641218707ac785582efb5,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:57,editWindow,c2221dd6edd1c52ddd0f21f896b30bf0,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:57,41e3a1b575c20e95e0536a05a8c08226
